Training Start:Mon, 03 Jul 2023 12:02:08 +0000

Generative Model Training Start:Mon, 03 Jul 2023 12:02:09 +0000
Iter-[25400/80740]; loss: 8.788; kl:0.309; p_loss:0.003; rec:0.008; tc:0.001; gamma:0.069;
Iter-[25600/80740]; loss: 8.789; kl:0.309; p_loss:0.003; rec:0.008; tc:0.001; gamma:0.069;
Iter-[25800/80740]; loss: 9.985; kl:0.350; p_loss:0.002; rec:0.009; tc:0.832; gamma:0.070;
Iter-[26000/80740]; loss: 8.321; kl:0.253; p_loss:0.003; rec:0.008; tc:0.000; gamma:0.070;
Iter-[26200/80740]; loss: 9.594; kl:0.377; p_loss:0.003; rec:0.009; tc:-0.000; gamma:0.071;
Iter-[26400/80740]; loss: 7.900; kl:0.251; p_loss:0.002; rec:0.008; tc:0.832; gamma:0.071;
Iter-[26600/80740]; loss: 7.890; kl:0.234; p_loss:0.003; rec:0.008; tc:0.000; gamma:0.072;
Iter-[26800/80740]; loss: 8.716; kl:0.273; p_loss:0.004; rec:0.008; tc:0.001; gamma:0.072;
Iter-[27000/80740]; loss: 7.972; kl:0.273; p_loss:0.002; rec:0.008; tc:0.832; gamma:0.073;
Iter-[27200/80740]; loss: 7.863; kl:0.260; p_loss:0.002; rec:0.008; tc:0.000; gamma:0.073;
Iter-[27400/80740]; loss: 8.159; kl:0.269; p_loss:0.003; rec:0.008; tc:0.000; gamma:0.074;
Iter-[27600/80740]; loss: 9.076; kl:0.287; p_loss:0.002; rec:0.009; tc:0.832; gamma:0.075;
Iter-[27800/80740]; loss: 8.854; kl:0.323; p_loss:0.003; rec:0.008; tc:0.002; gamma:0.075;
Iter-[28000/80740]; loss: 8.278; kl:0.225; p_loss:0.003; rec:0.008; tc:0.001; gamma:0.076;
Iter-[28200/80740]; loss: 10.111; kl:0.280; p_loss:0.003; rec:0.010; tc:0.832; gamma:0.076;
Iter-[28400/80740]; loss: 8.143; kl:0.239; p_loss:0.004; rec:0.008; tc:0.001; gamma:0.077;
Iter-[28600/80740]; loss: 8.555; kl:0.245; p_loss:0.003; rec:0.008; tc:-0.001; gamma:0.077;
Iter-[28800/80740]; loss: 7.936; kl:0.207; p_loss:0.003; rec:0.008; tc:0.830; gamma:0.078;
Iter-[29000/80740]; loss: 7.904; kl:0.206; p_loss:0.003; rec:0.008; tc:-0.001; gamma:0.078;
Iter-[29200/80740]; loss: 8.819; kl:0.267; p_loss:0.005; rec:0.008; tc:-0.001; gamma:0.079;
Iter-[29400/80740]; loss: 8.245; kl:0.252; p_loss:0.005; rec:0.008; tc:0.829; gamma:0.079;
Iter-[29600/80740]; loss: 7.983; kl:0.220; p_loss:0.004; rec:0.008; tc:-0.003; gamma:0.080;
Iter-[29800/80740]; loss: 8.389; kl:0.247; p_loss:0.005; rec:0.008; tc:-0.001; gamma:0.080;
Iter-[30000/80740]; loss: 8.511; kl:0.269; p_loss:0.007; rec:0.008; tc:0.833; gamma:0.081;
Iter-[30200/80740]; loss: 8.689; kl:0.197; p_loss:0.005; rec:0.008; tc:0.001; gamma:0.082;
Iter-[30400/80740]; loss: 8.997; kl:0.200; p_loss:0.006; rec:0.009; tc:0.001; gamma:0.082;
Iter-[30600/80740]; loss: 8.429; kl:0.220; p_loss:0.005; rec:0.008; tc:0.833; gamma:0.083;
Iter-[30800/80740]; loss: 10.213; kl:0.253; p_loss:0.005; rec:0.010; tc:0.001; gamma:0.083;
Iter-[31000/80740]; loss: 7.777; kl:0.224; p_loss:0.003; rec:0.008; tc:0.001; gamma:0.084;
Iter-[31200/80740]; loss: 9.263; kl:0.204; p_loss:0.004; rec:0.009; tc:0.824; gamma:0.084;
Iter-[31400/80740]; loss: 8.905; kl:0.225; p_loss:0.003; rec:0.009; tc:0.003; gamma:0.085;
Iter-[31600/80740]; loss: 8.507; kl:0.235; p_loss:0.004; rec:0.009; tc:0.004; gamma:0.085;
Iter-[31800/80740]; loss: 8.141; kl:0.162; p_loss:0.008; rec:0.008; tc:0.821; gamma:0.086;
Iter-[32000/80740]; loss: 8.109; kl:0.228; p_loss:0.007; rec:0.008; tc:-0.003; gamma:0.086;
Iter-[32200/80740]; loss: 8.853; kl:0.230; p_loss:0.009; rec:0.009; tc:-0.005; gamma:0.087;
Iter-[32400/80740]; loss: 8.994; kl:0.203; p_loss:0.008; rec:0.009; tc:0.834; gamma:0.088;
Iter-[32600/80740]; loss: 8.377; kl:0.191; p_loss:0.008; rec:0.009; tc:-0.001; gamma:0.088;
Iter-[32800/80740]; loss: 7.595; kl:0.152; p_loss:0.006; rec:0.008; tc:-0.003; gamma:0.089;
Iter-[33000/80740]; loss: 7.648; kl:0.211; p_loss:0.006; rec:0.008; tc:0.819; gamma:0.089;
Iter-[33200/80740]; loss: 8.952; kl:0.200; p_loss:0.010; rec:0.009; tc:0.004; gamma:0.090;
Iter-[33400/80740]; loss: 8.213; kl:0.205; p_loss:0.006; rec:0.009; tc:-0.002; gamma:0.090;
Iter-[33600/80740]; loss: 8.175; kl:0.167; p_loss:0.005; rec:0.009; tc:0.828; gamma:0.091;
Iter-[33800/80740]; loss: 8.900; kl:0.225; p_loss:0.004; rec:0.009; tc:-0.005; gamma:0.091;
